X,Y,OBJECTID,HOSPITAL_NAME,HOSPITAL_TYPE,HQ_ADDRESS,HQ_CITY,HQ_STATE,HQ_ZIP_CODE,COUNTY_NAME,STATE_NAME,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE
-112.06615690000001,33.4954978,1,Phoenix VA Health Care System (AKA Carl T Ha VA Medical Center),VA Hospital,650 E Indian School Rd,Phoenix,AZ,85012,Maricopa,Arizona,129.0,129.0,0,0,,0,0.0
-110.9658852,32.1812634,2,Southern Arizona VA Health Care System,VA Hospital,3601 S 6th Ave,Tucson,AZ,85723,Pima,Arizona,295.0,295.0,2,2,,0,2.0
-119.77974209999998,36.7733235,3,VA Central California Health Care System,VA Hospital,2615 E Clinton Ave,Fresno,CA,93703,Fresno,California,57.0,57.0,2,2,,0,2.0
-72.9576103,41.284400399999996,4,VA Connecticut Healthcare System - West Haven Campus (AKA West Haven VA Medical Center),VA Hospital,950 Campbell Ave,West Haven,CT,6516,New Haven,Connecticut,216.0,216.0,1,1,,0,2.0
-75.6065325,39.7402063,5,Wilmington VA Medical Center,VA Hospital,1601 Kirkwood Hwy,Wilmington,DE,19805,New Castle,Delaware,60.0,60.0,0,0,,0,1.0
-77.0111948,38.9306823,6,Washington DC VA Medical Center,VA Hospital,50 Irving St Nw,Washington,DC,20422,District of Columbia,District of Columbia,164.0,164.0,1,1,,0,2.0
-82.345254,29.636988899999995,7,North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center,VA Hospital,1601 Sw Archer Rd,Gainesville,FL,32608,Alachua,Florida,432.0,289.0,2,2,,143,2.0
-116.1901845,43.621035,8,Boise VA Medical Center,VA Hospital,500 W Fort St,Boise,ID,83702,Ada,Idaho,46.0,46.0,1,1,,0,1.0
-93.7216826,32.503100800000006,9,Overton Brooks VA Medical Center,VA Hospital,510 E Stoner Ave,Shreveport,LA,71101,Caddo,Louisiana,111.0,111.0,1,1,,0,2.0
-90.10530849999999,32.325487100000004,10,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Short Term Acute Care Hospital,1030 River Oaks Dr,Flowood,MS,39232,Rankin,Mississippi,160.0,160.0,10,10,0.27986822,0,2.0
